### var1 :  probe_sc_eta 
### var2 :  probe_Ele_pt 
  -2.500	  -2.000	 +10.000	 +20.000	0.343	0.003	0.418	0.005	0.348	0.347	0.426	0.419
  -2.000	  -1.566	 +10.000	 +20.000	0.385	0.003	0.468	0.005	0.380	0.385	0.459	0.470
  -1.566	  -1.444	 +10.000	 +20.000	0.303	0.005	0.295	0.009	0.305	0.287	0.300	0.294
  -1.444	  -0.800	 +10.000	 +20.000	0.516	0.003	0.538	0.004	0.513	0.517	0.514	0.539
  -0.800	  +0.000	 +10.000	 +20.000	0.473	0.003	0.513	0.004	0.466	0.464	0.487	0.512
  +0.000	  +0.800	 +10.000	 +20.000	0.482	0.003	0.513	0.004	0.479	0.475	0.483	0.511
  +0.800	  +1.444	 +10.000	 +20.000	0.519	0.003	0.537	0.004	0.516	0.465	0.511	0.536
  +1.444	  +1.566	 +10.000	 +20.000	0.301	0.005	0.303	0.009	0.298	0.313	0.298	0.304
  +1.566	  +2.000	 +10.000	 +20.000	0.385	0.003	0.451	0.005	0.384	0.393	0.448	0.452
  +2.000	  +2.500	 +10.000	 +20.000	0.371	0.003	0.455	0.005	0.369	0.375	0.413	0.456
  -2.500	  -2.000	 +20.000	 +35.000	0.618	0.001	0.676	0.002	0.615	0.622	0.677	0.678
  -2.000	  -1.566	 +20.000	 +35.000	0.670	0.001	0.710	0.001	0.663	0.677	0.709	0.712
  -1.566	  -1.444	 +20.000	 +35.000	0.497	0.002	0.497	0.003	0.495	0.586	0.503	0.502
  -1.444	  -0.800	 +20.000	 +35.000	0.717	0.001	0.748	0.001	0.711	0.719	0.740	0.749
  -0.800	  +0.000	 +20.000	 +35.000	0.703	0.001	0.743	0.001	0.695	0.708	0.735	0.740
  +0.000	  +0.800	 +20.000	 +35.000	0.715	0.001	0.736	0.001	0.707	0.713	0.728	0.734
  +0.800	  +1.444	 +20.000	 +35.000	0.720	0.001	0.740	0.001	0.710	0.722	0.731	0.741
  +1.444	  +1.566	 +20.000	 +35.000	0.487	0.002	0.504	0.003	0.484	0.577	0.499	0.507
  +1.566	  +2.000	 +20.000	 +35.000	0.656	0.001	0.705	0.001	0.655	0.664	0.697	0.708
  +2.000	  +2.500	 +20.000	 +35.000	0.623	0.001	0.699	0.002	0.618	0.621	0.665	0.701
  -2.500	  -2.000	 +35.000	 +50.000	0.759	0.001	0.794	0.001	0.757	0.754	0.794	0.796
  -2.000	  -1.566	 +35.000	 +50.000	0.807	0.001	0.824	0.001	0.806	0.803	0.824	0.825
  -1.566	  -1.444	 +35.000	 +50.000	0.687	0.001	0.697	0.002	0.687	0.684	0.694	0.699
  -1.444	  -0.800	 +35.000	 +50.000	0.834	0.001	0.860	0.001	0.832	0.831	0.856	0.860
  -0.800	  +0.000	 +35.000	 +50.000	0.818	0.001	0.855	0.001	0.817	0.816	0.850	0.855
  +0.000	  +0.800	 +35.000	 +50.000	0.828	0.001	0.845	0.001	0.827	0.825	0.840	0.846
  +0.800	  +1.444	 +35.000	 +50.000	0.835	0.001	0.855	0.001	0.834	0.832	0.849	0.856
  +1.444	  +1.566	 +35.000	 +50.000	0.679	0.001	0.700	0.002	0.678	0.670	0.696	0.700
  +1.566	  +2.000	 +35.000	 +50.000	0.806	0.001	0.828	0.001	0.804	0.802	0.821	0.830
  +2.000	  +2.500	 +35.000	 +50.000	0.760	0.001	0.806	0.001	0.757	0.755	0.786	0.807
  -2.500	  -2.000	 +50.000	 +90.000	0.817	0.001	0.838	0.003	0.815	0.817	0.838	0.839
  -2.000	  -1.566	 +50.000	 +90.000	0.858	0.001	0.865	0.002	0.856	0.858	0.863	0.866
  -1.566	  -1.444	 +50.000	 +90.000	0.731	0.002	0.740	0.005	0.728	0.714	0.735	0.738
  -1.444	  -0.800	 +50.000	 +90.000	0.872	0.001	0.897	0.001	0.871	0.861	0.896	0.896
  -0.800	  +0.000	 +50.000	 +90.000	0.853	0.001	0.890	0.001	0.853	0.843	0.888	0.890
  +0.000	  +0.800	 +50.000	 +90.000	0.863	0.001	0.881	0.001	0.862	0.854	0.879	0.881
  +0.800	  +1.444	 +50.000	 +90.000	0.874	0.001	0.890	0.001	0.873	0.863	0.888	0.890
  +1.444	  +1.566	 +50.000	 +90.000	0.725	0.003	0.735	0.005	0.725	0.725	0.734	0.736
  +1.566	  +2.000	 +50.000	 +90.000	0.854	0.001	0.867	0.002	0.852	0.853	0.862	0.868
  +2.000	  +2.500	 +50.000	 +90.000	0.823	0.001	0.851	0.002	0.819	0.822	0.838	0.852
  -2.500	  -2.000	 +90.000	+150.000	0.894	0.006	0.859	0.011	0.876	0.885	0.865	0.852
  -2.000	  -1.566	 +90.000	+150.000	0.902	0.004	0.886	0.008	0.899	0.903	0.892	0.883
  -1.566	  -1.444	 +90.000	+150.000	0.828	0.012	0.762	0.021	0.807	0.825	0.789	0.764
  -1.444	  -0.800	 +90.000	+150.000	0.898	0.003	0.904	0.005	0.895	0.899	0.913	0.904
  -0.800	  +0.000	 +90.000	+150.000	0.889	0.002	0.902	0.004	0.884	0.887	0.911	0.903
  +0.000	  +0.800	 +90.000	+150.000	0.903	0.002	0.887	0.004	0.893	0.899	0.896	0.888
  +0.800	  +1.444	 +90.000	+150.000	0.902	0.003	0.886	0.005	0.899	0.902	0.902	0.890
  +1.444	  +1.566	 +90.000	+150.000	0.781	0.011	0.769	0.021	0.781	0.784	0.762	0.759
  +1.566	  +2.000	 +90.000	+150.000	0.887	0.004	0.889	0.008	0.884	0.892	0.889	0.891
  +2.000	  +2.500	 +90.000	+150.000	0.867	0.006	0.854	0.011	0.870	0.875	0.875	0.854
  -2.500	  -2.000	+150.000	+500.000	0.872	0.013	0.819	0.030	0.873	0.897	0.853	0.832
  -2.000	  -1.566	+150.000	+500.000	0.905	0.009	0.922	0.014	0.902	0.906	0.889	0.926
  -1.566	  -1.444	+150.000	+500.000	0.805	0.023	0.768	0.041	0.806	0.809	0.837	0.786
  -1.444	  -0.800	+150.000	+500.000	0.900	0.005	0.917	0.009	0.892	0.901	0.917	0.913
  -0.800	  +0.000	+150.000	+500.000	0.906	0.004	0.906	0.007	0.901	0.905	0.920	0.906
  +0.000	  +0.800	+150.000	+500.000	0.907	0.004	0.887	0.008	0.901	0.907	0.901	0.888
  +0.800	  +1.444	+150.000	+500.000	0.918	0.005	0.907	0.009	0.910	0.918	0.903	0.909
  +1.444	  +1.566	+150.000	+500.000	0.752	0.024	0.792	0.043	0.756	0.757	0.800	0.794
  +1.566	  +2.000	+150.000	+500.000	0.896	0.009	0.905	0.016	0.896	0.894	0.920	0.906
  +2.000	  +2.500	+150.000	+500.000	0.921	0.015	0.878	0.024	0.907	0.916	0.893	0.895
